x_vel_set y_vel_set angular_vel_set motor_state_0 motor_state_1 motor_state_2 motor_state_3 motor_state_4 motor_state_5 motor_state_6 motor_state_7 motor_state_8 motor_state_9 motor_state_10 motor_state_11 ground_colision_0 ground_colision_1 ground_colision_2 ground_colision_3 orientation_quaternion_x orientation_quaternion_y orientation_quaternion_z orientation_quaternion_w angular_vel_x angular_vel_y angular_vel_z linear_acceleration_x linear_acceleration_y linear_acceleration_z linear_velocity_x linear_velocity_y linear_velocity_z action_0 action_1 action_2 action_3 action_4 action_5 action_6 action_7 action_8 action_9 action_10 action_11
0.013000 0.009000 0.000000 -0.442422 0.401636 -0.418435 -0.340045 0.301944 -0.370415 -0.399528 0.370136 -0.390047 -0.380963 0.452857 -0.493900 1 1 1 1 0.008365 -0.008579 0.205056 0.978677 0.055342 -0.035150 -0.005424 0.285782 0.655695 0.233060 0.011268 0.011217 0.000000 -30.369305 18.412803 -22.747764 -17.665926 18.475431 -22.281516 -23.885029 18.400282 -22.833449 -21.876917 27.559525 -28.938213
0.013000 0.009000 0.000000 -0.489302 0.435536 -0.355575 -0.345150 0.380237 -0.400327 -0.373190 0.422265 -0.396239 -0.414727 0.439516 -0.466876 1 1 1 1 0.009410 -0.010303 0.205987 0.978455 0.036043 -0.015026 0.094071 -0.004525 -0.138756 0.203065 0.028136 0.023947 0.000000 -30.677439 18.413557 -22.742530 -17.363606 18.474041 -22.292653 -23.575727 18.399849 -22.836377 -21.608906 29.205038 -30.101684
0.013000 0.009000 0.000000 -0.485121 0.394342 -0.374179 -0.378079 0.393359 -0.356333 -0.372077 0.438709 -0.337861 -0.368356 0.530238 -0.480158 1 1 1 1 0.010089 -0.012031 0.206736 0.978271 0.049866 -0.074687 0.024580 -0.059445 -0.224160 0.285623 0.022573 0.014728 0.000000 -30.985505 18.414326 -22.737192 -17.061149 18.472659 -22.303684 -23.266387 18.399431 -22.839201 -21.257854 30.966230 -31.320956
0.013000 0.009000 0.000000 -0.430868 0.426812 -0.322656 -0.328358 0.274081 -0.399491 -0.422887 0.382573 -0.429041 -0.394308 0.499615 -0.487047 1 1 1 1 0.010460 -0.013401 0.206873 0.978220 0.065474 -0.027235 0.124033 0.014911 0.137017 -0.577488 0.020863 0.026463 0.000000 -31.293500 18.415108 -22.731749 -16.758554 18.471286 -22.314610 -22.957010 18.399027 -22.841920 -20.821338 32.836272 -32.586202
0.013000 0.009000 0.000000 -0.509292 0.452586 -0.439124 -0.366980 0.316127 -0.403204 -0.449220 0.406728 -0.378953 -0.410352 0.517069 -0.565232 1 1 1 1 0.011389 -0.016163 0.208280 0.977869 0.094409 -0.036358 0.107548 -0.052376 -0.120173 0.271726 0.019011 0.026394 0.000000 -31.601425 18.415904 -22.726201 -16.455824 18.469922 -22.325429 -22.647599 18.398639 -22.844534 -20.297500 34.807645 -33.887436
0.013000 0.009000 0.000000 -0.522355 0.466114 -0.377616 -0.269216 0.312306 -0.426890 -0.412632 0.522961 -0.386426 -0.409484 0.555811 -0.537570 1 1 1 1 0.011654 -0.017952 0.208043 0.977885 0.127353 -0.166478 0.119501 -0.022436 0.189237 -0.486232 0.016925 0.003632 0.000000 -31.909277 18.416713 -22.720549 -16.152960 18.468565 -22.336142 -22.338154 18.398266 -22.847044 -19.685029 36.872057 -35.214609
0.013000 0.009000 0.000000 -0.520708 0.395455 -0.393044 -0.308483 0.265970 -0.335987 -0.392906 0.478425 -0.415586 -0.367133 0.677733 -0.576090 1 1 1 0 0.011811 -0.022662 0.210133 0.977339 0.092723 -0.152402 0.102129 0.433714 -0.369694 0.087198 0.036286 0.006515 0.000000 -32.217056 18.417536 -22.714791 -15.849963 18.467218 -22.346749 -22.028677 18.397909 -22.849449 -18.983139 39.020354 -36.557694
0.013000 0.009000 0.000000 -0.507271 0.433621 -0.414681 -0.317308 0.299376 -0.385182 -0.359093 0.467668 -0.403831 -0.333720 0.606626 -0.642427 1 1 1 0 0.011444 -0.026992 0.211875 0.976857 -0.011961 -0.140750 0.139026 0.329777 -0.449510 0.317842 0.037828 -0.000478 0.000000 -32.524759 18.418373 -22.708928 -15.546834 18.465879 -22.357251 -21.719169 18.397567 -22.851749 -18.191550 41.242424 -37.906772
0.013000 0.009000 0.000000 -0.524297 0.383003 -0.427816 -0.230678 0.273622 -0.486477 -0.436823 0.599049 -0.356524 -0.385785 0.658587 -0.642885 1 1 1 0 0.010965 -0.031010 0.213047 0.976488 0.101096 -0.240933 0.050495 -0.118003 -0.081946 -0.532276 0.053940 -0.011711 0.000000 -32.832386 18.419223 -22.702960 -15.243574 18.464550 -22.367646 -21.409632 18.397240 -22.853945 -17.310477 43.527106 -39.252119
0.013000 0.009000 0.000000 -0.557186 0.446422 -0.392601 -0.259845 0.266048 -0.419958 -0.410526 0.585208 -0.392597 -0.320478 0.735750 -0.638334 1 1 1 0 0.010127 -0.036778 0.214800 0.975913 0.026345 -0.096272 -0.045764 -0.272513 0.092891 0.481740 0.018908 -0.023824 0.000000 -33.139935 18.420086 -22.696887 -14.940185 18.463229 -22.377935 -21.100067 18.396929 -22.856036 -16.340606 45.862102 -40.584284
